,transaction_id,amount,transaction_type,merchant_category,customer_age,customer_income,account_age,location,num_prev_transactions,illicit
4500,4501,45.7270240985745,2,1,60,76327,222,2,322,0
4501,4502,36.0472857363155,2,0,53,113434,37,1,12,0
4502,4503,16.9968283416442,2,3,79,63654,107,1,49,0
4503,4504,0.324267111669015,1,1,63,35930,129,2,759,0
4504,4505,34.2826885109868,0,4,38,150682,60,2,232,1
4505,4506,16.8174314124092,0,0,39,154590,67,0,952,0
4506,4507,66.3274216899862,0,2,26,182054,177,2,993,1
4507,4508,1.21188190046252,2,1,51,26775,218,1,539,0
4508,4509,43.9530966143834,0,4,76,175062,79,1,615,0
4509,4510,141.914411858671,0,2,74,25378,174,2,865,0
4510,4511,9.58280545084212,2,4,43,66402,111,2,95,0
4511,4512,31.8997686123484,2,0,18,190513,48,2,342,0
4512,4513,4.79372650094033,0,2,53,99712,220,1,855,0
4513,4514,49.1324670532238,2,0,61,45060,196,1,192,0
4514,4515,39.984495359496,2,2,22,147067,147,0,919,0
4515,4516,26.1588734185633,0,1,58,148334,88,2,510,0
4516,4517,36.84210463479,0,3,80,138684,40,2,450,0
4517,4518,113.445263221544,2,3,39,198065,134,2,124,0
4518,4519,10.9261062232773,2,4,21,113104,208,0,80,0
4519,4520,1.14114929650004,0,2,65,42765,96,2,6,0
4520,4521,98.9038082904635,0,0,19,174268,222,2,329,0
4521,4522,43.0329964382285,2,1,33,136677,191,0,82,0
4522,4523,110.66394298015,1,1,33,166540,163,2,535,0
4523,4524,45.4341402110169,2,1,70,114385,200,2,904,0
4524,4525,83.0789704168021,0,3,73,122649,61,2,625,0
4525,4526,28.0773017768387,0,0,73,28174,5,2,526,0
4526,4527,69.2867121584159,1,1,39,65820,37,0,112,0
4527,4528,122.116195243503,0,1,60,146518,204,2,439,0
4528,4529,42.4459711547403,1,4,18,170170,217,2,889,0
4529,4530,9.97044490531368,1,2,32,92582,225,2,853,0
4530,4531,15.6532498563664,0,2,41,155258,231,2,761,0
4531,4532,11.0725353053647,1,2,21,36722,216,2,656,0
4532,4533,14.1750099407276,0,4,80,128157,139,2,18,0
4533,4534,18.2941063957369,1,3,79,91504,106,1,8,0
4534,4535,40.4990843203835,0,4,35,130760,99,2,831,0
4535,4536,44.3355806501819,0,1,34,60452,168,1,184,0
4536,4537,27.7998450841854,2,0,24,48270,193,2,37,0
4537,4538,47.7802738491237,2,1,67,199383,8,1,722,0
4538,4539,4.25474757685511,0,1,62,61129,87,2,903,0
4539,4540,4.59415598265075,2,0,69,26387,84,2,133,0
